"Rider","Pro_year","Points_as_neopro","heuristic"
"kolessov alexey",2007,0,0.333333333333333
"komin aleksandr",2015,0,0
"kongstad tobias",2019,10,0
"könig leopold",2008,13,0.0833333333333333
"konovalovas ignatas",2008,487,0.553571428571429
"konrad patrick",2015,457,1.20833333333333
"kooij olav",2021,NA,1.53333333333333
"koren kristijan",2010,367,1.15277777777778
"koretzky clément",2013,142,0
"korsæth truls engen",2017,65,0.3
"koshevoy ilia",2015,265,0.1
"kovalev evgeny",2012,15,0.416666666666667
"kozhatayev bakhtiyar",2015,177,0.404040404040404
"kozontchuk dmitry",2007,95,0.625
"kragh andersen asbjørn",2016,110,0
"kragh andersen søren",2016,704,0.761071428571429
"krasnov leonid",2012,327,0
"kreder michel",2010,450,0.466666666666667
"kreder raymond",2012,312,0.323333333333333
"kreder wesley",2013,205,0.364285714285714
"kristoff alexander",2010,808,0.638095238095238
"kritskiy timofey",2010,102,0.993333333333333
"krivtsov dmytro",2009,6,0.25
"kron andreas",2019,300,0.85
"kruijswijk steven",2010,756,0.233333333333333
"kubias petr",2008,1,0
"kudus merhawi",2014,356,0
"kulikov vladislav",2019,14,0
"kulikovskiy alexandr",2019,0,0.225
"kump marko",2011,320,0.913333333333333
"küng stefan",2015,607,0.744444444444444
"kunitski andrei",2007,423,0.55
"kupeshov berik",2008,5,0
"kurbatov alexey",2016,16,0
"kurek adrian",2012,36,0
"kurianov stepan",2018,30,0.185353535353535
"kuroeda shiki",2015,69,0
"kuss sepp",2018,507,0
"kustadinchev roman",2015,6,0.111111111111111
"kux christian",2008,43,0
"kuzmin anton",2020,NA,0
"kuznetsov viacheslav",2013,186,0.75
"kvist thomas vedel",2009,13,1.04166666666667
"kwiatkowski michal",2011,720,0.516666666666667
"laas martin",2016,110,0.2
"laengen vegard stake",2012,164,0.626984126984127
"lafay victor",2019,45,0.783333333333333
"lambert-lemay simon",2011,0,0.0833333333333333
"lambrecht bjorg",2018,721,1.31613756613757
"lammertink maurits",2013,228,0.625
"lammertink steven",2016,24,0.788333333333333
"lampaert yves",2013,399,0.285714285714286
"landa mikel",2011,246,0.666666666666667
"lander sebastian",2013,29,0.709523809523809
"lange michael",2007,28,0
"langellotti victor",2018,3,0
"laporte christophe",2014,345,0.4
